Game Mode,Player Crowns,Player Name,Opponent Crowns,Opponent Name,Battle Time,Winner
pathOfLegend,0,PlotoZypresse,2,bastreghi,"21/08/2024, 16:13:49",bastreghi
pathOfLegend,0,PlotoZypresse,1,☠️⚡ReKING⚡☠️,"21/08/2024, 16:10:20",☠️⚡ReKING⚡☠️
pathOfLegend,0,PlotoZypresse,1,Angel07,"21/08/2024, 16:07:03",Angel07
pathOfLegend,1,PlotoZypresse,2,mohammed,"21/08/2024, 16:03:38",mohammed
pathOfLegend,0,PlotoZypresse,1,lil kiki,"21/08/2024, 16:00:21",lil kiki
pathOfLegend,0,PlotoZypresse,1,lony,"21/08/2024, 15:56:29",lony
pathOfLegend,2,PlotoZypresse,1,Nealos,"21/08/2024, 15:51:51",PlotoZypresse
pathOfLegend,1,PlotoZypresse,0,Eduardo,"21/08/2024, 15:48:37",PlotoZypresse
pathOfLegend,0,PlotoZypresse,1,beasty23456,"21/08/2024, 15:45:16",beasty23456
pathOfLegend,0,PlotoZypresse,1,Alexandervlsrr_,"21/08/2024, 15:42:00",Alexandervlsrr_
pathOfLegend,1,PlotoZypresse,0,☢️,"21/08/2024, 10:19:32",PlotoZypresse
pathOfLegend,0,PlotoZypresse,1,ZaxAeron,"21/08/2024, 10:16:11",ZaxAeron
pathOfLegend,0,PlotoZypresse,1,kolorowe,"21/08/2024, 09:59:56",kolorowe
pathOfLegend,1,PlotoZypresse,0,Kunibert,"21/08/2024, 09:55:31",PlotoZypresse
pathOfLegend,1,PlotoZypresse,0,The Maks,"21/08/2024, 09:45:48",PlotoZypresse
pathOfLegend,0,PlotoZypresse,1,tomh,"21/08/2024, 09:41:49",tomh
pathOfLegend,0,PlotoZypresse,2,Kk,"21/08/2024, 09:37:23",Kk
pathOfLegend,3,PlotoZypresse,0,Royal bruno,"21/08/2024, 09:33:43",PlotoZypresse
pathOfLegend,0,PlotoZypresse,1,처음처럼,"21/08/2024, 09:26:48",처음처럼
